longitude,latitude,terrain_class,terrain_label
6.95,5.366667,2,midland
6.95,5.367226281879194,2,midland
6.95,5.367785563758389,2,midland
6.95,5.3683448456375835,2,midland
6.95,5.368904127516778,2,midland
6.95,5.369463409395973,2,midland
6.95,5.370022691275167,2,midland
6.95,5.370581973154362,2,midland
6.95,5.371141255033557,1,lowland
6.95,5.371700536912751,1,lowland
6.95,5.372259818791946,1,lowland
6.95,5.3728191006711405,1,lowland
6.95,5.373378382550335,1,lowland
6.95,5.37393766442953,1,lowland
6.95,5.374496946308724,1,lowland
6.95,5.375056228187919,1,lowland
6.95,5.375615510067114,1,lowland
6.95,5.376174791946308,1,lowland
6.95,5.376734073825503,1,lowland
6.95,5.377293355704698,1,lowland
6.95,5.377852637583892,1,lowland
6.95,5.378411919463087,1,lowland
6.95,5.3789712013422815,1,lowland
6.95,5.379530483221476,1,lowland
6.95,5.380089765100671,1,lowland
6.95,5.380649046979865,1,lowland
6.95,5.38120832885906,1,lowland
6.95,5.381767610738255,1,lowland
6.95,5.382326892617449,1,lowland
6.95,5.382886174496644,1,lowland
6.95,5.3834454563758385,1,lowland
6.95,5.384004738255033,1,lowland
6.95,5.384564020134228,1,lowland
6.95,5.385123302013422,1,lowland
6.95,5.385682583892617,1,lowland
6.95,5.386241865771812,1,lowland
6.95,5.386801147651006,1,lowland
6.95,5.387360429530201,1,lowland
6.95,5.3879197114093955,1,lowland
6.95,5.38847899328859,1,lowland
6.95,5.389038275167785,1,lowland
6.95,5.389597557046979,1,lowland
6.95,5.390156838926174,1,lowland
6.95,5.390716120805369,1,lowland
6.95,5.391275402684563,1,lowland
6.95,5.391834684563758,1,lowland
6.95,5.3923939664429525,1,lowland
6.95,5.392953248322147,1,lowland
6.95,5.393512530201342,1,lowland
6.95,5.394071812080536,1,lowland
6.95,5.394631093959731,1,lowland
6.95,5.395190375838926,1,lowland
6.95,5.39574965771812,1,lowland
6.95,5.396308939597315,1,lowland
6.95,5.39686822147651,1,lowland
6.95,5.397427503355704,1,lowland
6.95,5.397986785234899,1,lowland
6.95,5.3985460671140935,1,lowland
6.95,5.399105348993288,1,lowland
6.95,5.399664630872483,1,lowland
