longitude,latitude,elevation_m
6.95,5.366667,190.27064280329367
6.95,5.367226281879194,190.19683013407456
6.95,5.367785563758389,190.1211917388153
6.95,5.3683448456375835,190.04370262893715
6.95,5.368904127516778,189.96433764788225
6.95,5.369463409395973,189.88307143107403
6.95,5.370022691275167,189.79987836306654
6.95,5.370581973154362,189.71473253195379
6.95,5.371141255033557,189.62760768112864
6.95,5.371700536912751,189.5384771585042
6.95,5.372259818791946,189.4473138633374
6.95,5.3728191006711405,189.35409019082405
6.95,5.373378382550335,189.2587779746706
6.95,5.37393766442953,189.16134842788762
6.95,5.374496946308724,189.06177208209763
6.95,5.375056228187919,188.96001872570523
6.95,5.375615510067114,188.85605734133782
6.95,5.376174791946308,188.74985604304248
6.95,5.376734073825503,188.64138201380112
6.95,5.377293355704698,188.5306014440269
6.95,5.377852637583892,188.41747947180525
6.95,5.378411919463087,188.30198012576773
6.95,5.3789712013422815,188.18406627161514
6.95,5.379530483221476,188.06369956345657
6.95,5.380089765100671,187.94084040129107
6.95,5.380649046979865,187.81544789613224
6.95,5.38120832885906,187.68747984446347
6.95,5.381767610738255,187.5568927139123
6.95,5.382326892617449,187.4236416422377
6.95,5.382886174496644,187.28768045194178
6.95,5.3834454563758385,187.1489616830342
6.95,5.384004738255033,187.00743664669542
6.95,5.384564020134228,186.86305550279496
6.95,5.385123302013422,186.7157673644162
6.95,5.385682583892617,186.56552043271577
6.95,5.386241865771812,186.4122621655852
6.95,5.386801147651006,186.25593948368578
6.95,5.387360429530201,186.09649901747093
6.95,5.3879197114093955,185.93388739878432
6.95,5.38847899328859,185.7680516005154
6.95,5.389038275167785,185.59893932757473
6.95,5.389597557046979,185.42649946212015
6.95,5.390156838926174,185.25068256548164
6.95,5.390716120805369,185.07144143858838
6.95,5.391275402684563,184.88873174186753
6.95,5.391834684563758,184.70251267453887
6.95,5.3923939664429525,184.51274771194457
6.95,5.392953248322147,184.3194053980138
6.95,5.393512530201342,184.12246018813576
6.95,5.394071812080536,183.92189333558807
6.95,5.394631093959731,183.71769381222148
6.95,5.395190375838926,183.50985925132386
6.95,5.39574965771812,183.29839689746996
6.95,5.396308939597315,183.0833245447087
6.95,5.39686822147651,182.86467144066302
6.95,5.397427503355704,182.6424791300328
6.95,5.397986785234899,182.41680220664676
6.95,5.3985460671140935,182.18770893865295
6.95,5.399105348993288,181.95528172674673
6.95,5.399664630872483,181.71961735061006
6.95,5.400223912751677,181.48082695409803
6.95,5.400783194630872,181.23903571531326
6.95,5.401342476510067,180.99438214374055
6.95,5.401901758389261,180.74701694329343
6.95,5.402461040268456,180.49710137770052
6.95,5.4030203221476505,180.24480507343154
6.95,5.403579604026845,179.9903031956492
6.95,5.40413888590604,179.7337729348364
6.95,5.404698167785234,179.47538924618425
6.95,5.405257449664429,179.21531979094286
6.95,5.405816731543624,178.95371903917342
6.95,5.406376013422818,178.6907215071422
6.95,5.406935295302013,178.42643412040292
6.95,5.4074945771812075,178.16092771585093
6.95,5.408053859060402,177.89422772310624
6.95,5.408613140939597,177.62630409784165
6.95,5.409172422818792,177.35706061741817
6.95,5.409731704697987,177.0863236926446
6.95,5.4102909865771815,176.81383089875797
6.95,5.410850268456376,176.53921948386636
6.95,5.411409550335571,176.2620151739385
6.95,5.411968832214765,175.98162165970416
6.95,5.41252811409396,175.69731122200395
6.95,5.413087395973155,175.4082170273749
6.95,5.413646677852349,175.11332770377467
6.95,5.414205959731544,174.81148488552938
6.95,5.414765241610739,174.50138449429798
6.95,5.415324523489933,174.1815825954371
6.95,5.415883805369128,173.8505067315507
6.95,5.4164430872483225,173.5064736802286
6.95,5.417002369127517,173.14771460161094
6.95,5.417561651006712,172.77240852109793
6.95,5.418120932885906,172.37872501753682
6.95,5.418680214765101,171.96487683827215
6.95,5.419239496644296,171.52918291702966
6.95,5.41979877852349,171.07014190403905
6.95,5.420358060402685,170.5865158055097
6.95,5.4209173422818795,170.07742265083317
6.95,5.421476624161074,169.54243624943967
6.95,5.422035906040269,168.98169007077138
6.95,5.422595187919463,168.39598111198382
6.95,5.423154469798658,167.78686837575515
6.95,5.423713751677853,167.15675937523415
6.95,5.424273033557047,166.5089770715572
